school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,passed
GP,M,15,U,LE3,T,4,3,1,3,0,no,yes,no,yes,yes,yes,no,5,4,3,1,1,4,2,yes
GP,M,16,R,GT3,A,4,4,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,3,1,1,5,7,yes
GP,F,15,R,GT3,T,3,4,1,3,0,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,yes
GP,F,15,R,GT3,T,2,2,1,1,0,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,yes
GP,F,16,U,LE3,T,2,2,2,2,1,no,yes,no,yes,yes,yes,yes,3,3,3,1,2,3,25,yes
GP,M,15,U,LE3,T,4,4,1,1,0,no,yes,no,no,yes,yes,yes,5,4,3,2,4,5,8,yes
GP,M,15,U,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,yes
GP,M,15,U,GT3,T,2,2,1,1,0,yes,yes,no,no,yes,yes,no,5,4,1,1,1,1,0,yes
GP,F,16,U,LE3,T,2,2,2,2,1,yes,no,no,yes,yes,yes,no,4,3,3,2,2,5,14,no
GP,F,15,U,LE3,A,4,3,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,no
GP,F,16,U,LE3,A,3,3,1,2,0,no,yes,no,no,yes,yes,no,2,3,5,1,4,3,12,yes
GP,M,16,U,GT3,T,4,3,1,4,0,no,no,no,yes,yes,yes,no,4,2,2,1,1,2,4,yes
GP,M,15,U,GT3,T,4,2,1,2,0,no,yes,yes,no,yes,no,no,4,3,3,2,2,5,2,yes
GP,F,15,U,GT3,T,4,4,1,2,1,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,3,2,no
GP,F,16,U,LE3,T,2,2,3,2,0,no,yes,yes,no,yes,yes,no,4,3,3,2,3,4,2,yes
GP,F,15,U,LE3,T,4,2,1,2,0,no,yes,yes,no,yes,yes,no,4,3,3,1,1,5,2,yes
GP,M,15,U,LE3,A,4,2,2,1,1,no,no,no,no,yes,no,no,5,5,5,3,4,5,6,yes
GP,F,15,U,GT3,T,4,4,1,1,0,yes,yes,yes,no,yes,yes,no,3,3,4,2,3,5,0,yes
GP,F,15,U,LE3,A,3,3,1,1,0,no,no,yes,no,yes,yes,no,5,3,4,4,4,1,6,yes
GP,F,16,U,GT3,A,2,1,1,2,0,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,yes
GP,F,15,U,GT3,A,4,3,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,yes
GP,M,15,U,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,no,no,3,2,2,1,1,5,4,yes
GP,M,15,U,LE3,T,1,2,1,2,0,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,2,no
GP,F,16,U,GT3,T,4,2,1,2,0,no,yes,no,no,yes,yes,no,4,2,3,1,1,5,2,yes
GP,F,16,R,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,no,no,2,4,4,2,3,4,6,yes
GP,F,16,U,GT3,T,1,1,4,1,0,yes,yes,no,yes,yes,yes,yes,5,5,5,5,5,5,6,yes
GP,F,16,U,LE3,T,1,2,1,2,0,yes,no,no,yes,yes,yes,no,4,4,3,1,1,1,4,no
GP,F,16,U,GT3,T,4,3,1,3,0,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,no
GP,F,15,U,LE3,T,4,3,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,4,2,4,2,0,yes
GP,F,16,U,LE3,T,4,3,3,2,0,no,yes,no,yes,yes,yes,no,5,4,3,1,2,1,2,yes
GP,M,15,U,GT3,A,4,4,1,4,0,no,yes,no,yes,yes,yes,yes,1,3,3,5,5,3,4,yes
GP,F,16,U,GT3,T,3,1,1,4,0,yes,yes,yes,no,yes,yes,no,4,3,3,1,2,5,4,no
GP,F,15,R,LE3,T,2,2,2,2,0,yes,yes,yes,no,yes,yes,no,4,1,3,1,3,4,2,no
GP,F,15,R,LE3,T,3,1,2,4,0,no,yes,no,no,yes,yes,no,4,4,2,2,3,3,12,yes
GP,M,16,U,GT3,T,3,1,2,4,0,no,yes,yes,no,yes,yes,no,4,3,2,1,1,5,0,yes
GP,M,15,U,GT3,T,4,2,1,4,0,no,no,no,no,yes,yes,no,3,3,3,1,1,3,0,yes
GP,F,15,R,GT3,T,1,1,1,2,2,yes,yes,no,no,yes,yes,yes,3,3,4,2,4,5,2,no
GP,M,16,U,GT3,T,3,1,1,1,0,no,no,no,yes,yes,no,no,5,3,2,2,2,5,2,yes
GP,F,16,U,GT3,T,3,3,1,2,0,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,yes
GP,M,15,U,GT3,T,4,3,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,yes
GP,M,15,U,GT3,T,4,0,2,4,0,no,no,no,yes,yes,yes,no,3,4,3,1,1,1,8,yes
GP,F,16,U,GT3,T,2,2,1,4,0,no,no,yes,no,yes,yes,yes,5,2,3,1,3,3,0,yes
GP,M,17,U,GT3,T,2,1,2,1,3,yes,yes,no,yes,no,yes,no,4,5,1,1,1,3,2,yes
GP,F,16,U,GT3,T,3,4,1,2,0,no,yes,no,no,yes,yes,no,2,4,3,1,2,3,12,no
GP,M,15,U,GT3,T,2,3,1,1,0,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,3,3,2,yes
GP,M,15,U,GT3,T,2,3,1,3,0,yes,no,yes,no,yes,yes,no,5,3,2,1,2,5,4,yes
GP,F,15,U,LE3,T,3,2,1,2,0,no,yes,yes,no,yes,yes,no,4,4,4,1,1,5,10,no
GP,M,15,U,LE3,T,2,2,2,2,0,no,no,yes,yes,yes,yes,no,5,3,3,1,3,4,4,yes
GP,F,15,U,GT3,T,1,1,1,2,0,no,yes,no,yes,yes,yes,no,4,3,2,2,3,4,2,yes
GP,F,15,U,GT3,T,4,4,2,2,2,no,no,yes,no,yes,yes,yes,4,4,4,2,3,5,6,no
GP,F,16,U,LE3,T,2,2,1,2,0,no,yes,no,no,yes,no,no,4,3,4,1,2,2,4,no
GP,F,15,U,GT3,T,4,2,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,3,1,4,yes
GP,M,16,U,GT3,T,2,2,2,2,1,no,no,yes,yes,yes,yes,no,4,4,2,1,1,3,12,yes
GP,M,16,U,LE3,A,4,4,1,2,0,no,yes,no,no,yes,no,no,4,1,3,3,5,5,18,no
GP,F,16,U,GT3,T,3,3,1,3,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,3,4,0,no
GP,F,15,U,GT3,T,4,3,1,1,0,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,4,yes
GP,F,16,U,LE3,T,3,1,1,2,0,yes,yes,no,no,yes,no,no,3,3,3,2,3,2,4,no
GP,F,16,U,GT3,T,4,2,2,2,0,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,yes
GP,M,15,U,LE3,T,2,2,1,4,0,no,yes,no,yes,yes,yes,no,4,3,4,1,1,4,6,yes
GP,F,15,R,GT3,T,1,1,2,4,1,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,yes
GP,M,16,R,GT3,T,4,3,2,1,0,yes,yes,no,yes,yes,yes,no,3,3,3,1,1,4,2,yes
GP,F,16,U,GT3,T,2,1,1,2,0,no,yes,yes,no,yes,no,yes,4,3,5,1,1,5,2,yes
GP,F,16,U,GT3,T,4,4,1,1,0,no,no,no,yes,yes,yes,no,5,3,4,1,2,1,6,yes
GP,F,16,U,GT3,T,4,3,1,3,0,yes,yes,yes,no,yes,yes,no,5,3,5,1,1,3,0,no
GP,M,16,U,GT3,T,4,4,1,1,0,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,no
GP,M,16,U,GT3,T,4,4,1,3,0,no,yes,no,yes,yes,yes,yes,4,4,3,1,1,4,0,yes
GP,M,15,U,GT3,T,4,4,1,1,0,no,yes,no,yes,yes,yes,no,5,3,3,1,1,5,4,yes
GP,F,15,U,GT3,T,3,2,2,2,0,yes,yes,yes,no,yes,yes,no,4,3,5,1,1,2,26,no
GP,M,15,U,GT3,A,3,4,1,2,0,no,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,yes
GP,F,15,U,GT3,A,3,3,1,4,0,yes,no,no,no,yes,no,no,4,3,3,1,1,4,10,yes
GP,F,15,U,GT3,T,2,2,1,4,0,yes,yes,yes,no,yes,yes,no,5,1,2,1,1,3,8,no
GP,M,16,U,GT3,T,3,3,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,1,5,2,yes
GP,M,15,R,GT3,T,4,4,4,4,0,no,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,yes
GP,F,16,U,LE3,T,4,4,1,3,0,no,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,yes
GP,M,15,U,LE3,A,4,4,1,1,0,no,no,no,yes,yes,yes,no,5,5,3,1,1,4,6,yes
GP,F,16,R,GT3,T,3,3,1,3,1,yes,yes,no,yes,yes,yes,no,4,1,2,1,1,2,0,yes
GP,F,16,U,GT3,T,2,2,1,2,1,yes,no,no,yes,yes,yes,no,3,1,2,1,1,5,6,yes
GP,M,15,U,LE3,T,4,2,1,1,0,no,no,no,no,yes,yes,no,3,5,2,1,1,3,10,yes
GP,M,15,R,GT3,T,2,1,1,2,0,no,no,no,yes,yes,yes,yes,5,4,2,1,1,5,8,no
GP,M,16,U,GT3,T,4,4,1,2,0,no,yes,no,yes,yes,yes,no,5,4,4,1,2,5,2,yes
GP,M,15,U,GT3,T,4,4,2,2,0,no,yes,no,yes,yes,no,no,4,4,3,1,1,2,2,yes
GP,M,16,U,GT3,T,3,3,2,1,0,no,no,no,yes,yes,yes,no,5,4,2,1,1,5,0,yes
GP,M,17,R,GT3,T,1,3,3,2,1,no,yes,no,yes,yes,yes,no,5,2,4,1,4,5,20,no
GP,M,15,U,GT3,T,3,4,1,1,0,no,no,no,no,yes,yes,no,3,4,3,1,2,4,6,yes
GP,F,15,U,GT3,T,1,2,1,2,0,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,yes
GP,M,15,U,GT3,T,2,2,1,4,0,no,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6,yes
GP,F,16,U,LE3,T,2,4,2,2,0,no,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,yes
GP,M,16,U,GT3,T,4,4,1,1,0,no,yes,no,yes,yes,yes,no,3,4,4,1,4,5,18,yes
GP,F,16,U,GT3,T,2,2,1,2,0,no,no,yes,no,yes,yes,yes,5,4,4,1,1,5,0,no
GP,M,15,U,GT3,T,3,4,1,1,0,yes,no,no,no,yes,yes,no,5,5,5,3,2,5,0,yes
GP,F,15,U,LE3,A,3,4,1,2,0,yes,no,no,yes,yes,yes,yes,5,3,2,1,1,1,0,yes
GP,F,19,U,GT3,T,0,1,1,2,3,no,yes,no,no,no,no,no,3,4,2,1,1,5,2,no
GP,M,18,R,GT3,T,2,2,1,1,2,no,yes,no,yes,yes,yes,no,3,3,3,1,2,4,0,no
GP,M,16,R,GT3,T,4,4,1,1,0,no,no,yes,yes,yes,yes,no,3,5,5,2,5,4,8,yes
GP,F,15,R,GT3,T,3,4,2,3,2,no,yes,no,no,yes,yes,yes,4,2,2,2,2,5,0,no
GP,F,15,U,GT3,T,1,1,3,1,0,no,yes,no,yes,yes,yes,yes,4,3,3,1,2,4,0,no
GP,F,17,U,LE3,T,2,2,1,1,0,no,yes,no,no,yes,yes,yes,3,4,4,1,3,5,12,yes
GP,F,16,U,GT3,A,3,4,1,1,0,no,no,no,no,yes,yes,no,3,2,1,1,4,5,16,yes
GP,M,15,R,GT3,T,3,4,4,2,0,no,yes,no,no,yes,no,yes,5,3,3,1,1,5,0,no
GP,F,15,U,GT3,T,4,4,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,3,1,1,5,0,no
GP,M,17,R,GT3,T,3,4,3,2,0,no,no,no,no,yes,no,no,5,4,5,2,4,5,0,no
GP,F,16,U,GT3,A,3,3,2,1,2,no,yes,no,yes,yes,yes,yes,4,3,2,1,1,5,0,no
GP,M,16,U,LE3,T,1,1,1,2,1,no,no,no,no,yes,no,yes,4,4,4,1,3,5,0,yes
GP,F,15,U,GT3,T,4,4,2,1,0,no,no,no,yes,yes,yes,no,4,3,2,1,1,5,0,yes
GP,M,15,U,GT3,T,4,3,2,4,0,yes,yes,no,no,yes,yes,no,2,2,2,1,1,3,0,no
GP,M,16,U,LE3,T,2,2,2,1,2,no,yes,no,yes,yes,yes,no,2,3,3,2,2,2,8,no
GP,F,15,U,GT3,T,4,4,1,3,0,no,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,2,yes
GP,F,16,U,LE3,T,1,1,1,1,0,no,no,no,no,yes,yes,no,3,4,4,3,3,1,2,yes
GP,M,17,U,GT3,T,2,1,1,1,3,no,yes,no,no,yes,yes,no,5,4,5,1,2,5,0,no
GP,F,15,U,GT3,T,1,1,1,2,0,no,yes,yes,no,yes,yes,no,4,4,2,1,2,5,0,yes
GP,F,15,U,GT3,T,3,2,1,2,3,no,yes,no,no,yes,yes,no,3,3,2,1,1,3,0,no
GP,F,15,U,GT3,T,1,2,1,2,0,no,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,yes
GP,M,16,U,GT3,T,4,4,1,1,0,no,yes,no,no,no,yes,yes,3,3,2,2,1,5,0,no
GP,M,15,U,LE3,A,2,1,4,1,3,no,no,no,no,yes,yes,no,4,5,5,2,5,5,0,yes
GP,M,18,U,LE3,T,1,1,1,1,3,no,no,no,no,no,yes,yes,2,3,5,2,5,4,0,no
GP,M,16,U,LE3,T,2,1,1,1,1,no,no,no,yes,yes,no,yes,4,4,4,3,5,5,6,yes
GP,F,15,R,GT3,T,3,3,2,3,2,no,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,8,yes
GP,M,19,U,GT3,T,3,2,1,1,3,no,yes,no,no,no,yes,yes,4,5,4,1,1,4,0,no
GP,F,17,U,GT3,T,4,4,1,1,0,yes,yes,no,no,yes,no,yes,4,2,1,1,1,4,0,yes
GP,M,15,R,GT3,T,2,3,1,2,0,yes,no,yes,yes,yes,no,no,4,4,4,1,1,1,2,no
GP,M,17,R,LE3,T,1,2,1,1,0,no,no,no,no,yes,no,no,2,2,2,3,3,5,8,yes
GP,F,18,R,GT3,T,1,1,3,1,3,no,yes,no,yes,yes,no,no,5,2,5,1,5,4,6,yes
GP,M,16,R,GT3,T,2,2,3,1,0,no,no,no,no,yes,no,no,4,2,2,1,2,3,2,yes
GP,M,16,U,GT3,T,3,3,1,2,1,no,yes,yes,no,yes,yes,yes,4,5,5,4,4,5,4,yes
GP,M,17,R,LE3,T,2,1,2,1,2,no,no,no,yes,no,yes,yes,3,3,2,2,2,5,0,no
GP,M,15,R,GT3,T,3,2,2,2,2,yes,yes,no,no,yes,yes,yes,4,4,4,1,4,3,6,no
GP,M,16,U,LE3,T,1,2,2,1,1,no,no,no,yes,yes,no,no,4,4,4,2,4,5,0,no
GP,M,17,U,GT3,T,1,3,1,1,0,no,no,no,no,no,yes,no,5,3,3,1,4,2,2,yes
GP,M,17,R,LE3,T,1,1,4,2,3,no,no,no,yes,no,no,yes,5,3,5,1,5,5,0,no
GP,M,16,U,GT3,T,3,2,2,1,1,no,yes,no,yes,no,no,no,4,5,2,1,1,2,16,yes
GP,M,16,U,GT3,T,2,2,1,2,0,no,no,no,no,no,yes,no,4,3,5,2,4,4,4,yes
GP,F,16,U,GT3,T,4,2,1,2,0,no,no,yes,no,yes,yes,yes,4,2,3,1,1,3,0,yes
GP,F,16,U,GT3,T,2,2,1,2,0,no,yes,yes,no,yes,yes,no,5,1,5,1,1,4,0,no
GP,F,16,U,GT3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,yes,4,4,2,1,1,3,0,yes
GP,M,16,U,GT3,T,3,4,3,1,2,no,yes,no,yes,yes,yes,no,3,4,5,2,4,2,0,no
GP,M,16,U,GT3,T,1,0,2,2,0,no,yes,yes,yes,yes,yes,yes,4,3,2,1,1,3,2,yes
GP,M,17,U,LE3,T,4,4,1,2,0,no,yes,yes,yes,yes,yes,no,4,4,4,1,3,5,0,yes
GP,F,16,U,GT3,T,1,3,1,2,3,no,no,no,yes,yes,yes,yes,4,3,5,1,1,3,0,no
GP,F,16,U,LE3,T,3,3,2,2,0,no,yes,yes,yes,yes,yes,no,4,4,5,1,1,4,4,no
GP,M,17,U,LE3,T,4,3,2,2,0,no,no,yes,yes,yes,yes,no,4,4,4,4,4,4,4,no
GP,F,16,U,GT3,T,2,2,2,2,0,no,no,yes,yes,yes,yes,no,3,4,4,1,4,5,2,yes
GP,M,17,U,GT3,T,3,3,1,2,0,no,no,no,yes,yes,yes,no,4,3,4,1,4,4,4,no
GP,M,16,R,GT3,T,4,2,1,1,0,no,yes,no,yes,yes,yes,yes,4,3,3,3,4,3,10,no
GP,M,17,U,GT3,T,4,3,1,2,0,no,yes,no,yes,yes,yes,yes,5,2,3,1,1,2,4,yes
GP,M,16,U,GT3,T,4,3,1,2,0,no,yes,yes,yes,yes,yes,no,3,4,3,2,3,3,10,no
GP,M,16,U,GT3,T,3,3,1,2,0,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,3,2,yes
GP,F,17,U,GT3,T,2,4,1,2,0,no,yes,no,yes,yes,no,no,5,4,2,2,3,5,0,yes
GP,F,17,U,LE3,T,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,5,3,3,2,3,1,56,no
GP,F,16,U,GT3,T,3,2,1,2,0,no,yes,yes,no,yes,yes,no,1,2,2,1,2,1,14,yes
GP,M,17,U,GT3,T,3,3,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,4,2,3,4,12,yes
GP,M,16,U,GT3,T,1,2,1,1,0,no,yes,yes,yes,yes,yes,yes,3,3,3,1,2,3,2,yes
GP,M,16,U,LE3,T,2,1,1,2,0,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,5,0,yes
GP,F,17,U,GT3,A,3,3,1,2,0,no,yes,no,no,yes,yes,yes,3,3,3,1,3,3,6,no
GP,M,17,R,GT3,T,1,2,1,2,0,no,no,no,no,yes,no,no,3,1,3,1,5,3,4,yes
GP,F,16,U,GT3,T,2,3,1,2,0,no,no,no,no,yes,yes,no,4,3,3,1,1,2,10,yes
GP,F,17,U,GT3,T,1,1,1,2,0,no,no,no,yes,yes,yes,no,5,3,3,1,1,3,0,no
GP,M,17,U,GT3,T,1,2,2,2,0,no,no,yes,yes,yes,yes,no,4,4,4,4,5,5,12,no
GP,M,16,R,GT3,T,3,3,1,1,0,no,yes,no,yes,yes,yes,no,4,3,2,3,4,5,8,yes
GP,M,16,U,GT3,T,2,3,2,1,0,no,no,no,no,yes,yes,no,5,3,3,1,1,3,0,yes
GP,F,17,U,LE3,T,2,4,1,2,0,no,no,no,yes,yes,yes,yes,4,3,2,1,1,5,0,yes
GP,M,17,U,GT3,T,4,4,1,1,0,no,no,no,no,yes,yes,no,5,2,3,1,2,5,4,yes
GP,M,16,R,LE3,T,3,3,3,1,0,no,yes,yes,yes,yes,yes,no,3,3,4,3,5,3,8,yes
GP,F,17,U,GT3,T,4,4,2,1,1,no,yes,no,no,yes,yes,no,4,2,4,2,3,2,24,yes
GP,F,16,U,LE3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,no,4,5,2,1,2,3,0,yes
GP,F,16,U,GT3,T,4,3,1,2,0,no,yes,no,yes,yes,yes,no,4,3,5,1,5,2,2,yes
GP,F,16,U,GT3,T,2,3,1,2,0,yes,yes,yes,yes,yes,no,no,4,4,3,1,3,4,6,yes
GP,F,17,U,GT3,T,1,1,1,2,0,no,yes,yes,no,yes,no,no,4,4,4,1,3,1,4,yes
GP,F,17,R,GT3,T,2,2,1,1,0,no,yes,no,no,yes,yes,no,5,3,2,1,2,3,18,no
GP,F,16,R,GT3,T,2,2,2,4,0,no,yes,yes,yes,yes,yes,no,5,3,5,1,1,5,6,yes
GP,F,17,U,GT3,T,3,4,1,3,1,no,yes,yes,no,yes,yes,yes,4,4,3,3,4,5,28,no
GP,F,16,U,GT3,A,3,1,1,2,3,no,yes,yes,no,yes,yes,no,2,3,3,2,2,4,5,no
GP,F,16,U,GT3,T,4,3,1,2,0,no,no,yes,yes,yes,yes,yes,1,3,2,1,1,1,10,yes
GP,F,16,U,GT3,T,1,1,2,1,0,no,yes,yes,no,yes,no,no,4,3,2,1,4,5,6,yes
GP,F,17,R,GT3,T,4,3,2,3,0,no,yes,yes,yes,yes,yes,yes,4,4,2,1,1,4,6,no
GP,F,19,U,GT3,T,3,3,1,4,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,2,3,10,no
GP,M,17,U,LE3,T,4,4,1,2,0,no,yes,yes,no,yes,yes,yes,5,3,5,4,5,3,13,yes
GP,F,16,U,GT3,A,2,2,1,2,0,yes,yes,yes,no,yes,yes,no,3,3,4,1,1,4,0,yes
GP,M,18,U,GT3,T,2,2,1,2,1,no,yes,yes,yes,yes,yes,no,4,4,4,2,4,5,15,no
GP,F,17,R,LE3,T,4,4,1,1,0,no,yes,yes,no,yes,no,no,5,2,1,1,2,3,12,yes
GP,F,17,U,LE3,T,3,2,2,2,0,no,no,yes,no,yes,yes,no,4,4,4,1,3,1,2,yes
GP,F,17,U,GT3,T,4,3,1,2,2,no,no,yes,no,yes,yes,yes,3,4,5,2,4,1,22,no
GP,M,18,U,LE3,T,3,3,1,2,1,no,yes,yes,no,yes,yes,no,3,2,4,2,4,4,13,no
GP,F,17,U,GT3,T,2,3,2,1,0,no,yes,yes,no,yes,no,no,3,3,3,1,4,3,3,no
GP,F,17,U,GT3,T,2,2,1,3,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,1,4,4,yes
GP,F,17,R,GT3,T,2,1,2,2,0,no,yes,no,yes,yes,yes,no,4,2,5,1,2,5,2,no
GP,F,17,U,GT3,T,1,1,1,3,1,no,yes,no,yes,yes,no,yes,4,3,4,1,1,5,0,no
GP,F,16,U,GT3,T,2,3,1,2,0,yes,no,no,no,yes,yes,no,2,3,1,1,1,3,2,yes
GP,M,18,U,GT3,T,2,2,2,2,0,no,yes,yes,no,yes,yes,no,3,3,3,5,5,4,0,yes
GP,F,16,U,GT3,T,4,4,1,3,0,no,yes,no,yes,yes,yes,no,5,3,2,1,1,5,0,yes
GP,F,18,R,GT3,T,3,1,1,2,1,no,no,no,yes,yes,yes,yes,5,3,3,1,1,4,16,no
GP,F,17,U,GT3,T,3,2,1,2,0,no,no,no,yes,yes,yes,no,5,3,4,1,3,3,10,yes
GP,M,17,U,LE3,T,2,3,1,2,0,no,yes,yes,no,yes,yes,no,5,3,3,1,3,3,2,yes
GP,M,18,U,LE3,T,2,1,4,2,0,yes,yes,yes,yes,yes,yes,yes,4,3,2,4,5,3,14,no
GP,F,17,U,GT3,A,2,1,2,3,0,no,no,no,yes,yes,yes,yes,3,2,3,1,2,3,10,yes
GP,F,17,U,LE3,T,4,3,1,2,0,no,no,no,yes,yes,yes,yes,3,2,3,1,2,3,14,yes
